,,,,,,,,Στην περίπτωση αυτή το energy cost είναι η τιμή που έχει συμφωνηθεί στο PPA,,,,,,,,,4000,,2,,,,3,4,,,,,,,,,,,,,,,,,,,
P Installed (kWp),Unit Cost (€/kWp),Specific Yield (kWh/kWp),Monthly Consumption (kWh),Annual Consumption (kWh),Equity ,Years,interest rate,Energy Cost (€/MWh),Energy Cost Regulated (€/MWh),Loan Interest,Interest rate project,Loan ,Annual Production (kWh),Annual Degradation,O&M (€/kWp/year),Land Lease (€/year),Development Costs EUNILAB (€),Connection Cost HEDNO (€),insurance €/year,Adm Expenses (€/year),OPEX other (€/year),Annual Expenses escalation ,Bank expenses (€),Contigency (€),Taxes (%),Advance payment of taxes (%),Cost annual decrease (%),Min marginal price (€/MWh),PPA price (€/MWh),,,,,,,,,,,,,,
400,600,1465,741666.6666666666,8900000,0.2,10,0.028,70,45,0.03,0.02432,0.8,586000,0.007,6,0,1600,2000,800,2000,0,0.03,1200,1600,0.22,0.95,0,45,45,,,,,,,,,,,,,,
240000,192000,,24722.222222222223,,,,,,,,,,1123.835616438356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery energy capacity (kWh),Unit Cost (€/kWh),synchronization (%),18541.666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,500,0.7,18291.666666666668,,,,,physical,0,0 or 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,Years,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Cost,240000,Equity,49280,,,,,,,,,,,EBITDA,,,,54279,53835.86,53390.04998,52941.41547014,52489.79788704902,52035.034406795654,51576.95783405277,51115.39646736222,50650.17396038295,50181.10917900129,49708.01605417953,49230.703430414454,48748.97490967418,48262.628690677244,47771.45740337444,47275.24793848868,46773.781271965294,46266.83228417892,45754.16957374058,45235.55526574185,44710.74481426961,44179.48679901933,43641.522715829284,43096.58676095366,42544.40560888623,
Development Cost,1600,Loan,197120,246400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connection Cost,2000,,,,,,,,,,,,,Depreciation I,,,,20944,20944,20944,20944,20944,20944,20944,20944,20944,20944,,,,,,,,,,,,,,,,
Bank expenses & Contigency,2800,,,,,,,,,,,,,Depreciation II,,,,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,1468.8,
Equity percentage,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,EBIT,,,,31866.2,31423.06,30977.249980000004,30528.615470139997,30076.99788704902,29622.234406795655,29164.157834052774,28702.59646736222,28237.37396038295,27768.309179001288,48239.216054179524,47761.90343041445,47280.17490967418,46793.82869067724,46302.65740337444,45806.44793848868,45304.98127196529,44798.03228417892,44285.36957374058,43766.75526574185,43241.944814269606,42710.68679901933,42172.72271582928,41627.786760953655,41075.605608886224,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Interest,,,,5376,4902.712588282119,4416.173129036138,3916.0105649312686,3401.8434490314635,2873.2796538864645,2329.916072477404,1771.3383107888903,1197.1203717730987,606.8243304648646,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Principal,,,,16903.121847067174,17376.409258785054,17862.948718031035,18363.111282135906,18877.27839803571,19405.84219318071,19949.20577458977,20507.783536278283,21082.001475294077,21672.29751660231,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,OPEX + Act. Energy Costs + Principal + Interest,,,,991500.1218470671,991943.2618470672,992389.0718670671,992837.7063769272,993289.3239600181,993744.0874402714,994202.1640130144,994663.725379705,995128.9478866843,995598.0126680658,973791.9839458205,974269.2965695856,974751.0250903259,975237.3713093228,975728.5425966256,976224.7520615113,976726.2187280346,977233.1677158211,977745.8304262593,978264.4447342582,978789.2551857303,979320.5132009807,979858.4772841707,980403.4132390463,980955.5943911137,
,,,,,,,,,,,,,,EBT,,,0,26490.2,26520.34741171788,26561.076850963866,26612.60490520873,26675.154438017555,26748.95475290919,26834.24176157537,26931.258156573327,27040.25358860985,27161.484848536424,48239.216054179524,47761.90343041445,47280.17490967418,46793.82869067724,46302.65740337444,45806.44793848868,45304.98127196529,44798.03228417892,44285.36957374058,43766.75526574185,43241.944814269606,42710.68679901933,42172.72271582928,41627.786760953655,41075.605608886224,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
