,,,,,,,,,,,,,,,,,4000,,2,,,,3,4,,,,,,,,,,,,,,,,,,,
P Installed (kWp),Unit Cost (€/kWp),Specific Yield (kWh/kWp),Monthly Consumption (kWh),Annual Consumption (kWh),Equity ,Years,interest rate,Energy Cost (€/MWh),Energy Cost Regulated (€/MWh),Loan Interest,Interest rate project,Loan ,Annual Production (kWh),Annual Degradation,O&M (€/kWp/year),Land Lease (€/year),Development Costs EUNILAB (€),Connection Cost HEDNO (€),insurance €/year,Adm Expenses (€/year),OPEX other (€/year),Annual Expenses escalation ,Bank expenses (€),Contigency (€),Taxes (%),Advance payment of taxes (%),Cost annual decrease (%),Min marginal price (€/MWh),,,,,,,,,,,,,,,
8000,700,1500,975000,11700000,1,10,0.028,70,45,0.03,0.028,0,12000000,0.007,6,0,32000,2000,16000,2000,0,0.03,24000,32000,0.22,0.95,0.05,45,,,,,,,,,,,,,,,
5600000,4480000,,32500,,,,,,,,,,23013.698630136983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery energy capacity (kWh),Unit Cost (€/kWh),synchronization (%),24375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,500,0.7,24125,,,,,physical,0,0 or 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,Years,,,,,,,,,,,,,,,,,,,,,,,,,,
Development Cost,32000,Loan,0,5690000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connection Cost,2000,,,,,,,,,,,,,Depreciation I,,,,483650,483650,483650,483650,483650,483650,483650,483650,483650,483650,,,,,,,,,,,,,,,,
Bank expenses & Contigency,56000,,,,,,,,,,,,,Depreciation II,,,,33948,33948,33948,33948,33948,33948,33948,33948,33948,33948,33948,33948.0,33948.0,33948.0,33948.0,33948.0,33948.0,33948.0,33948.0,33948.0,33948.0,33948.0,33948.0,33948.0,33948.0,
Equity percentage,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,EBIT,,,,634402,584836,537906.3469,493458.54463811486,451346.69494406553,411433.0056419753,373587.32666884304,337686.7122344335,303615.00763737445,281204.13361308223,758722.2625628795,752537.726926581,746298.0277257859,740000.597446027,733642.7979356562,727221.9182420103,720735.1723829771,714179.6970520169,707552.5492546452,700850.703874315,694071.0511655803,687210.3941723586,680265.4460690374,673232.8274221162,666109.0633699902,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Interest,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Principal,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,OPEX + Act. Energy Costs + Principal + Interest,,,,193500,202116,210143.1531000001,217633.5803618852,224635.92380593438,231195.58217052452,237354.9317530318,243153.5332663476,248628.32558836756,254197.86638691777,260329.73743712052,266514.273073419,272753.97227421415,279051.40255397296,285409.2020643439,291830.0817579897,298316.8276170229,304872.3029479831,311499.4507453548,318201.29612568504,324980.9488344197,331841.6058276414,338786.55393096263,345819.17257788376,352942.9366300098,
,,,,,,,,,,,,,,EBT,,,0,634402,584836,537906.3469,493458.54463811486,451346.69494406553,411433.0056419753,373587.32666884304,337686.7122344335,303615.00763737445,281204.13361308223,758722.2625628795,752537.726926581,746298.0277257859,740000.597446027,733642.7979356562,727221.9182420103,720735.1723829771,714179.6970520169,707552.5492546452,700850.703874315,694071.0511655803,687210.3941723586,680265.4460690374,673232.8274221162,666109.0633699902,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Taxes,,,,139568.44,128663.92,118339.396318,108560.87982038526,99296.27288769442,90515.26124123458,82189.21186714547,74291.07669157538,66795.30168022239,61864.909394878094,166918.8977638335,165558.2999238478,164185.5660996729,162800.13143812594,161401.41554584436,159988.82201324226,158561.73792425497,157119.5333514437,155661.56083602196,154187.1548523493,152695.63125642767,151186.28671791888,149658.39813518824,148111.22203286557,146543.99394139784,
